,season,episode_number,cumulative_episode_number,title,air_date,rating_value,votes,description
0,1,1,1,The Gang Gets Racist,2005-08-04,8.1,5100,The guys hire Dee's friend as a promoter for the bar and get more than they bargained for. Charlie seeks black friends to prove he isn't a racist.
1,1,2,2,Charlie Wants an Abortion,2005-08-11,8.2,4500,In this take on the abortion debate Dennis and Mac go to opposite sides of an abortion rally to pick up women while Charlie deals with an unruly kid he believes to be his son.
2,1,3,3,Underage Drinking: A National Concern,2005-08-16,8.2,4400,"The gang turns Paddy's into a safe haven for teens, but things get weird when they all get asked to the local high school prom."
3,1,4,4,Charlie Has Cancer,2005-08-23,8.0,4100,"When Charlie confidentially confides that he has cancer, it leads to a series of instances of the guys manipulating women and one gorgeous transsexual (not a transvestite)."
4,1,5,5,Gun Fever,2005-08-30,7.8,3900,"When Paddy's gets robbed, the gang decides to purchase a gun with many issues. At the same time Dee is dating a mysterious man which the gang suspects to be the robber."
5,1,6,6,The Gang Finds a Dead Guy,2005-09-06,8.0,3800,"A guy dies in Paddy's pub. Dennis and Mac use the guy's death as an excuse to get close to the guy's attractive granddaughter. Meanwhile, Charlie discovers that Dennis and Dee's grandfather was a Nazi."
6,1,7,7,Charlie Got Molested,2005-09-13,8.4,4100,The gang learns that Charlie's former elementary school teacher is on trial for child molestation and they attempt to stage an intervention to get Charlie to admit that he was.
7,2,1,8,Charlie Gets Crippled,2006-06-29,8.5,4000,The gang discovers the perks of being handicapped when Charlie becomes wheel-chair bound after an accident. Dennis and Dee's estranged father returns.
8,2,2,9,The Gang Goes Jihad,2006-06-29,8.6,4000,"When half of Paddy's gets bought out by a business developer, the gang seeks revenge. Unfortunately, an ill-timed dog-napping plot, a poorly made video tape, and a flaming bag of poop threaten the gang's chances of getting their property back."
9,2,3,10,Dennis and Dee Go on Welfare,2006-07-06,9.0,4800,Dennis and Dee quit their jobs and concoct a plan to get welfare benefits so they can pursue their unrealistic goals and dreams.
10,2,4,11,Mac Bangs Dennis' Mom,2006-07-06,9.2,5000,"Tensions run high in the gang when Mac courts Dennis and Dee's mom and the two organize a stakeout to blackmail Frank and get out of ""Charlie work""."
11,2,5,12,Hundred Dollar Baby,2006-07-13,8.7,4100,"Inspired by the movie ""Million Dollar Baby"", Frank teaches Dee to inflict punishment while Dennis and Mac teach Charlie to take punishment. But both fighting careers are derailed by the use of ""performance enhancing supplements""."
12,2,6,13,The Gang Gives Back,2006-07-20,8.4,3600,"After being arrested for arson, Charlie is sentenced to community service and required to attend AA. Here he makes a discovery that could assist him in his ongoing effort to connect with the Waitress."
13,2,7,14,The Gang Exploits a Miracle,2006-07-27,7.9,3300,Frank tries to cavort the holy crowd when Mac discovers a water stain on Paddy's wall that closely resembles the Virgin Mary.
14,2,8,15,The Gang Runs for Office,2006-08-03,7.9,3300,"The gang discovers that if you run for office, people will pay you to quit. So of course, the gang exploits this and Dennis runs for office. At the same time Frank and Charlie try to stop this, which ends up in a feud."
15,2,9,16,Charlie Goes America All Over Everybody's Ass,2006-08-10,8.2,3400,"To prove their patriotism, Charlie and Dee try to upstage the local anti-smoking group, while Dennis and Mac turn Paddy's into a bastion of true freedom. But when Frank takes things too far, Paddy's is populated with creeps and lowlifes, and the gang decides they want to live under a totalitarian state."
16,2,10,17,Dennis and Dee Get a New Dad,2006-08-17,8.5,3500,"When Dennis and Dee discover their mother has lied to them about Frank being their dad, they get to know their real father. Meanwhile, Mac and Charlie attempt to impress Mac's imprisoned father by becoming hardened criminals."
17,3,1,18,The Gang Finds a Dumpster Baby,2007-09-13,8.5,3700,"Mac and Dee decide to raise a baby they find in the dumpster. Dennis talks some trash while going green and befriending radical environmentalist groups, while Charlie and Frank go dumpster-diving."
18,3,2,19,The Gang Gets Invincible,2007-09-13,8.7,3800,"Dennis, Mac, and Dee take part in the Philadelphia Eagles' open tryouts, while Frank drops acid and freaks out when he and Charlie tailgate next to the McPoyles."
19,3,3,20,Dennis and Dee's Mom Is Dead,2007-09-20,8.3,3200,"After Dennis and Dee's gold-digging mother dies from a botched plastic-surgery operation, Dee and Frank scheme to get their name in the will, while Dennis inherits the house and makes plans for a party mansion."
20,3,4,21,The Gang Gets Held Hostage,2007-09-20,8.9,4000,"The McPoyle brothers and sister Margaret take the gang hostage at Paddy's, raising the stakes to a new level in the feud between the two groups."
21,3,5,22,The Aluminum Monster vs. Fatty Magoo,2007-09-27,7.9,3200,Dee discovers that the biggest loser and fatty from high school is now a successful and thin fashion designer... now making Dee the biggest loser.
22,3,6,23,The Gang Solves the North Korea Situation,2007-09-27,8.4,3300,"As they prepare for the annual Pub Crawl, the gang is horrified to learn that they face competition from a new Korean bar."
23,3,7,24,The Gang Sells Out,2007-10-04,8.1,3000,"A corporate chain offers to buy the Paddy's Pub, leaving Dee and Charlie unemployed and forcing them to find jobs at another restaurant, where they abuse their positions and take advantage of the manager, who is Dee's friend."
24,3,8,25,Frank Sets Sweet Dee on Fire,2007-10-04,8.4,3300,"In their quest to become famous, Frank, Charlie, and Mac, search for newsworthy footage to air on public access."
25,3,9,26,Sweet Dee's Dating a Retarded Person,2007-10-11,9.2,4900,"While Dennis and Dee try to figure out if the rapper Dee is dating has a mental handicap or not, Charlie, Mac, and Frank try to start their own band without knowledge of how to play musical instruments."
26,3,10,27,Mac Is a Serial Killer,2007-10-18,9.0,4000,"After reading that a serial killer is on the loose, the gang notices that Mac is acting shady and decides to find out if he's the man behind the murders."
27,3,11,28,Dennis Looks Like a Registered Sex Offender,2007-10-25,8.4,3100,"Dennis is angry because he's being mistaken for a fat guy rather than the sex offender who moved next door to Charlie. Meanwhile, Mac's father is released from prison and he and Mac have some catching up to do."
28,3,12,29,The Gang Gets Whacked: Part 1,2007-11-01,8.1,2900,"After stumbling upon a kilo of cocaine, the gang is forced to pay off a $25,000 debt to the mob. Mac becomes a mob informant, while Frank pimps out Dennis as an escort at the local country club. Charlie stumbles upon an opportunity to sell illegal narcotics."
29,3,13,30,The Gang Gets Whacked: Part 2,2007-11-01,8.3,3000,"While paying off their debt to the mob, Charlie and Dee try to find a way to make fake cocaine in order to fool them, while Dennis ranks in thousands of dollars being pimped out at the local country club. Mac realizes his position as a mob informant isn't being utilized to its full potential."
30,3,14,31,Bums: Making a Mess All Over the City,2007-11-15,8.5,3200,"Dee and Mac become Guardian Angels and clean up the streets when a bum starts using the alley behind the bar to masturbate. Meanwhile, Dennis, Charlie, and Frank impersonate police officers in order to get preferential treatment."
31,3,15,32,The Gang Dances Their Asses Off,2007-11-15,8.9,3800,"After Charlie accidentally puts Paddy's Pub up for 1st prize in a local dance competition, Frank makes the gang participate in the contest. Here, they form alliances and try to cheat the other contestants, as well as themselves, out of first place."
32,4,1,33,Mac and Dennis: Manhunters,2008-09-18,8.4,3200,"Mac and Dennis pursue the ultimate high of hunting another man by stalking Rickety Cricket, while Dee and Charlie become obsessed with eating human flesh after they come to believe Frank has fed some of it to them."
33,4,2,34,The Gang Solves the Gas Crisis,2008-09-18,9.1,4300,"While Mac, Dennis, and Charlie use their classic setup to sell gallons of gasoline door to door, Frank subjects Dee to a series of torture and mind games when he suspects that Dee is trying to kill him while the two plot to steal their inheritance from Bruce Mathis."
34,4,3,35,America's Next Top Paddy's Billboard Model Contest,2008-09-25,8.3,2700,"After buying a billboard, Frank subjects Dennis to a series of humiliating tests in a competition to get on the billboard, while Mac tries to find female subjects willing to go through his own version of a reality show, of sorts."
35,4,4,36,Mac's Banging the Waitress,2008-09-25,8.5,3100,Charlie manipulates Mac and Dennis when he accuses the two of them with sleeping with the coffee shop waitress.
36,4,5,37,Mac & Charlie Die: Part 1,2008-10-02,9.0,3500,"After Mac's father is released from prison, Mac and Charlie stage their own deaths to save their lives."
37,4,6,38,Mac & Charlie Die: Part 2,2008-10-02,8.6,3100,"After Mac and Charlie fake their own deaths, the rest of the gang finds unique ways of dealing with the loss."
38,4,7,39,Who Pooped the Bed?,2008-10-09,8.3,3400,"Frank and Charlie find someone has pooped in their bed, leading Mac and Dennis to join them as they attempt to find the culprit."
